,RAPE,LARCENY,BURGLARY,LARCENY FROM AUTO,AGG. ASSAULT,COMMON ASSAULT,AUTO THEFT,ROBBERY - STREET,ROBBERY - COMMERCIAL,ROBBERY - RESIDENCE,HOMICIDE,SHOOTING,ROBBERY - CARJACKING,ARSON
2014-09-18,2.0,48,19,23,17,27,8,13,1,2,2.0,0,0.0,0.0
2014-09-19,0.0,33,32,14,10,21,5,3,2,0,0.0,0,0.0,0.0
2014-09-20,2.0,27,25,24,16,19,10,7,4,0,1.0,1,0.0,0.0
2014-09-21,0.0,35,9,30,14,28,8,7,4,2,2.0,0,0.0,1.0
2014-09-22,1.0,41,28,20,7,15,7,25,0,7,1.0,1,0.0,1.0
2014-09-23,0.0,34,21,13,8,32,14,12,6,1,2.0,0,1.0,1.0
2014-09-24,0.0,22,16,17,15,17,12,19,0,1,0.0,1,0.0,0.0
2014-09-25,0.0,26,18,21,11,15,7,10,3,0,1.0,2,1.0,7.0
2014-09-26,0.0,41,13,20,13,23,13,9,0,2,1.0,1,1.0,0.0
2014-09-27,2.0,38,28,15,14,21,12,5,3,0,0.0,1,0.0,0.0
2014-09-28,0.0,47,19,13,11,19,13,4,0,1,1.0,0,0.0,0.0
2014-09-29,0.0,44,28,21,13,23,13,9,3,6,0.0,1,0.0,1.0
2014-09-30,2.0,43,20,12,15,24,4,7,3,0,1.0,1,0.0,0.0
2014-10-01,2.0,30,23,23,8,21,5,7,1,0,1.0,1,0.0,0.0
2014-10-02,0.0,30,15,19,13,18,7,12,0,0,0.0,0,0.0,0.0
2014-10-03,0.0,32,21,29,10,24,12,11,7,4,0.0,0,0.0,1.0
2014-10-04,4.0,34,13,17,20,29,8,7,4,3,1.0,2,2.0,0.0
2014-10-05,0.0,26,16,17,17,15,12,8,3,2,1.0,1,0.0,2.0
2014-10-06,1.0,21,22,14,10,18,7,9,0,3,1.0,1,0.0,0.0
2014-10-07,0.0,35,23,25,7,19,4,10,3,2,2.0,2,0.0,2.0
2014-10-08,0.0,32,17,17,4,18,15,7,3,4,0.0,0,0.0,2.0
2014-10-09,0.0,28,18,14,10,24,12,16,1,1,2.0,2,0.0,0.0
